Aspect,Polarity,Summary,Review
Output: Accessibility and Amenities and location,Positive,"way in the back, won't be in the way of other parking spaces, at a Sheetz, use the bathroom, get food, drink and walk around a bit, isn't covered","I like that the supercharger is way in the back so that other patrons won't have to stare at you and you won't be in the way of other parking spaces. This supercharger is at a Sheetz, so you'll be able to use the bathroom, get food, drink and walk around a bit. Four stars because it isn't covered, like most superchargers on the East Coast."
Output: charging speed and efficiency,Negative,only getting 35kW,I like the location but im only getting 35kW. Ive tried 3 stations and they are all the same.
Output: Amenities and Location,Positive,"near an area where you can take a break and stretch your legs, use the restroom, or grab a quick bite","I like this location because it‚Äôs near an area where you can take a break and stretch your legs, use the restroom, or grab a quick bite. There are only a few chargers there but it‚Äôs a good spot nonetheless."
Output: Amenities and Location,Positive,"arby's, good night stop, darker stalls, clean",I like this super charger stop. There is an arby's and it is a good night stop eith some darker stalls where you can take a quick nap if need be. The area is clean and and my charging seemed to be quicker than most of my average charging stops.
Accessibility and Availability,Positive,It's never busy and it will let me charge you up to 90%,I like using this supercharger. It's never busy and it will let me charge you up to 90%. Super convenient. Very clean all the stations work and not too far off the freeway.
Amenities and Location,Positive,Very clean all the stations work and not too far off the freeway.,I like using this supercharger. It's never busy and it will let me charge you up to 90%. Super convenient. Very clean all the stations work and not too far off the freeway.
Output: reliability and maintenance,Negative,one of the 8 chargers was out if order & it took quite a while for it to be repaired,"I live in a nearby apartment building and use this Supercharger frequently. It's busy, but usually great, and I rarely have to wait. But, last month, one of the 8 chargers was out if order & it took quite a while for it to be repaired (at least 2 weeks, I think....I wasn't monitoring it!). I went there today, had to wait 30 minutes because 3 of the chargers weren't working! This is very disappointing."
Output: Accessibility and Convenience,Positive,pull straight in without having to do the obnoxious back in move,I love being able to pull straight in without having to do the obnoxious back in move. We spent a few minutes picking up some treats in the Food Lion after using the restrooms and got back on the road.
Accessibility and Accessibility,Positive,charging my Tesla at this location,"I love charging my Tesla at this location! The price stays the same, and it's easy to access
 Other thing I noticed , people leave their trash behind!"
Amenities and location,Positive,easy to access,"I love charging my Tesla at this location! The price stays the same, and it's easy to access
 Other thing I noticed , people leave their trash behind!"
Cleanliness,Negative,people leave their trash behind,"I love charging my Tesla at this location! The price stays the same, and it's easy to access
 Other thing I noticed , people leave their trash behind!"
Output: Accessibility and Amenities and Location,Positive,"parking on this side of the Sheetz, see Tesla drivers recharge their Tesla's just pass the airport",I love parking on this side of the Sheetz were I get to see Tesla drivers recharge their Tesla's just pass the airport . in knowing that one day I will join them at a supercharger .
Output: Amenities and Location,Positive,stuff to do,I love supercharger locations where if you want a longer charge there is stuff to do. This is one of the nicer locations I've been to.
Output: Amenities and Location,Positive,"grocery stores like Meijer, facilities, healthy food, fresh fruits and drinks, grocery store prices","I love superchargers in close proximity to grocery stores like Meijer. Helps that you can use the facilities, purchase healthy food, fresh fruits and drinks at grocery store prices while you are picking up some essential electrons for onward travel."
Output: charging speed and efficiency,Positive,65 W. Hopefully it gets upgraded to higher wattage soon. 250 w.,i love tesla super chargers. This one was ~ 65 W. Hopefully it gets upgraded to higher wattage soon. 250 w.
Accessibility and Location,Negative,"location of the chargers, far away from the mall, have to walk like a mile just to get to the mall, cars speeding past the station every 30 seconds, poor logistics on their part",I love that there is almost never a wait to charge your car. I HATE the location of the chargers. It's on a busy entrance and far far away from the mall you have to walk like a mile just to get to the mall when their are cars speeding last the station every 30 seconds it gives me anxiety to take my kids out the car to walk a mile to the mall. I wish they planned this better. I know this is a failing mall so it's too late to change anything but I definitely consider going to different stations instead of this one because of the poor logistics on their part.
Output: Accessibility and Amenities and location,Positive,"amount of chargers, ease of getting in and out, outdoor factory mall",I love the amount of chargers that are at this location and the ease of getting in and out. And I love the outdoor factory mall to walk through while you‚Äôre waiting. By far my favorite supercharger location that I‚Äôve been to.
Output: Amenities and Location,Positive,convenient to the mall never crowded,I love these superchargers!!! Super convenient to the mall never crowded. Excellent place to charge!!
Output: Accessibility and Amenities and Location,Positive,good number of open spots and conveniently located near many different locations with amenities,I love this charging station. There is typically a good number of open spots and it is conveniently located near many different locations with amenities. Once in a while you will get someone that does not drive a Tesla that will park in one of the charging stations but not often.
Output: Amenities and Location,Positive,"convenient right off the highway, spacious and well lit parking lot, convenient store parking lot with clean restrooms and restaurant, not always full, car charges superfast at 250kwh.","I love this location, super convenient right off the highway. Spacious and well lit parking lot with plenty of space to stretch your legs. Love that it's in a convenient store parking lot with clean restrooms and restaurant. Plus it's not always full so your car charges superfast at 250kwh."
Output: Accessibility and Location,Positive,5 mins from my house,I love this place which is only 5 mins from my house while there‚Äôs big power outages after the storm hit. Tesla navigation didn‚Äôt yet update this supercharger but i always come here to charge for emergency.
Output: Amenities and Location,Positive,"Fast charging, close to I-75, Winn-Dixie has restrooms and self-serve hot food bar. Delicious fried chicken breast (8","I love this station: Fast charging, close to I-75, Winn-Dixie has restrooms and self-serve hot food bar. Delicious fried chicken breast (8/3 at 10:30 am)."
Output: Amenities and Location,Positive,back parking lot of my favorite Target store in the country,I love this Supercharger in the back parking lot of my favorite Target store in the country!
Output: Amenities and Location,Positive,"pride gas station, restrooms, snacks or actually eat something inside","I love this Tesla Super charging station. It is 150Kwh, there's a pride gas station here. So, when here, you can use the restrooms, get some snacks or actually eat something inside. Highly recommend it if you need to charge and a near by."
Output: Amenities and Location,Positive,Stopped in for a quick model S charge,"I love where this is located. Stopped in for a quick model S charge, and got a recharge myself across the street."
Output: charging speed and efficiency,Positive,super fast and near the I-95,"I loved this Charging Station, super fast and near the I-95! For sure I‚Äôm using it again"
Output: Amenities and Location,Positive,Buc'ees,"I must confess to being a major fan of Buc'ees. That did, this is the best Supercharger anywhere, in my opinion. Buc'ees is a logical pick. Their restroom facilities are the cleanest in the industry & never closed or out of order. They always have an ample selection of food & drinks. If you need to buy a gift for someone on the way, they are the logical choice. I hope Tesla adds Superchargers at EVERY Buc'ees in the near future."
Output: cleanliness,Negative,the parking lot is dirty,"I noticed a lot of ppl saying the parking lot is dirtyü§∑üèø‚Äç‚ôÄÔ∏è I've witnessed a few Tesla driver throwing trash out their cars ü§∑üèø‚Äç‚ôÄÔ∏è I charge here all the time, by myself. It's like every other neighborhood throughout the Bay Area. Definitely better than charging in SFü•¥ Keep your trash in the car until u find a garbage can! Best charging station so far for meüëçüèø"
Output: price and cost,Positive,cheaper compared to Centralia and Tumwater Superchargers,"I noticed this Tesla Supercharger is cheaper compared to Centralia and Tumwater Superchargers. I'm testing out to charge fully here and still be able to make it to Seattle without the need to stop at Centralia or Tumwater superchargers. Mainly driven by the lower rates. I could be wrong but it's worth a try.
 
 As of 10/16/2022
 
 Kelso - $0.30
 Centralia - $0.43
 Tumwater - $0.44"
Output: charging speed and efficiency,Negative,"I only got 70KW max (only one other car), and charger 2C has a bent pin so can't be plugged in.","I only got 70KW max (only one other car), and charger 2C has a bent pin so can‚Äôt be plugged in."
Output: charging speed and efficiency,Positive,just over 170 kw,"I only got just over 170 kw, but at least I got over 150."
Output: Accessibility and Accessibility,Positive,Tesla charging lot,"I only parked here in the Tesla charging lot, because it is another option to the overcrowded Mashpee, MA CVS parking lot."
Output: Amenities and Location,Positive,gaps station and Steward shop offers a nice bathroom and a good selection of snacks and drinks,"I rate chargers not on just there ability to charge, but availability of bathrooms and snacks. This charging station is perfect. The chargers are near a gaps station and Steward shop offers a nice bathroom and a good selection of snacks and drinks. This a v2 Tesla charger."
Accessibility and Availability,Negative,the Hy-Vee parking lot is too small and these chargers are too close to the store,"I rate this charging location 3 stars overall, 5 stars on normal days, but only 1 star on busy days. The Hy-Vee parking lot is too small and these chargers are too close to the store. The result is that on busy days, most of the 8 Tesla chargers are occupied by gas cars. The attached photo is from Christmas-eve 2021, and New Years-eve (a week later) was just as bad. And of course the Tesla App/Nav cannot tell you how many spots are being blocked. Hopefully people just don't realize they are blocking the only 8 Tesla fueling spots within 80 miles. Perhaps some signage needs to make that more clear? I didn't have to wait for a spot to open up, but I'm sure some travelers did on those two days."
Queue and waiting time,Negative,most of the 8 Tesla chargers are occupied by gas cars on busy days,"I rate this charging location 3 stars overall, 5 stars on normal days, but only 1 star on busy days. The Hy-Vee parking lot is too small and these chargers are too close to the store. The result is that on busy days, most of the 8 Tesla chargers are occupied by gas cars. The attached photo is from Christmas-eve 2021, and New Years-eve (a week later) was just as bad. And of course the Tesla App/Nav cannot tell you how many spots are being blocked. Hopefully people just don't realize they are blocking the only 8 Tesla fueling spots within 80 miles. Perhaps some signage needs to make that more clear? I didn't have to wait for a spot to open up, but I'm sure some travelers did on those two days."
User interface of charger+mobile app,Negative,the Tesla App,"I rate this charging location 3 stars overall, 5 stars on normal days, but only 1 star on busy days. The Hy-Vee parking lot is too small and these chargers are too close to the store. The result is that on busy days, most of the 8 Tesla chargers are occupied by gas cars. The attached photo is from Christmas-eve 2021, and New Years-eve (a week later) was just as bad. And of course the Tesla App/Nav cannot tell you how many spots are being blocked. Hopefully people just don't realize they are blocking the only 8 Tesla fueling spots within 80 miles. Perhaps some signage needs to make that more clear? I didn't have to wait for a spot to open up, but I'm sure some travelers did on those two days."
Safety,Positive,Secure with a guard and security gate,"I rate this charging location 3 stars overall, 5 stars on normal days, but only 1 star on busy days. The Hy-Vee parking lot is too small and these chargers are too close to the store. The result is that on busy days, most of the 8 Tesla chargers are occupied by gas cars. The attached photo is from Christmas-eve 2021, and New Years-eve (a week later) was just as bad. And of course the Tesla App/Nav cannot tell you how many spots are being blocked. Hopefully people just don't realize they are blocking the only 8 Tesla fueling spots within 80 miles. Perhaps some signage needs to make that more clear? I didn't have to wait for a spot to open up, but I'm sure some travelers did on those two days."
Accessibility and Amenities and location,Negative,"chargers are on the first floor of the parking lot, If you want to use the bathroom you have to go to the airport, It's a bit of a walk compared to some places.","I rate this place a 4 because it‚Äôs confusing and annoying. The chargers are on the first floor of the parking lot. If you want to use the bathroom you have to go to the airport. It‚Äôs a bit of a walk compare to some places.
 The bathroom are clean and are located on the first floor. When you leave you have to make sure you take your ticket to the person on the booth. So she can let you pass and you don‚Äôt pay for parking. But I much rather charge at other charger."
Amenities and location,Positive,bathroom are clean and located on the first floor,"I rate this place a 4 because it‚Äôs confusing and annoying. The chargers are on the first floor of the parking lot. If you want to use the bathroom you have to go to the airport. It‚Äôs a bit of a walk compare to some places.
 The bathroom are clean and are located on the first floor. When you leave you have to make sure you take your ticket to the person on the booth. So she can let you pass and you don‚Äôt pay for parking. But I much rather charge at other charger."
Output: Amenities and location,Negative,lack of amenities nearby,"I rate this supercharger a four only due to lack of amenities nearby. The only recommendation is to stop at the gas station down the street south about a half mile (.3km) to get some really good fresh fried chicken at Chester‚Äôs Chicken inside the gas station. It may sound a little less than appetizing but trust me, the 3 piece meal w your choice of light or dark is the ticket. Perhaps order before charging and eat while waiting. Bring a wet cloth for driving after this must-try destination on your journey."
Output: Amenities and Location,Positive,"main drag in town, walkable food options, hygge hearth coffee, snacks and drinks",I really liked this stop. It‚Äôs closer in to the main drag in town instead of right next to the highway so there are quite a few walkable food options. We walked to hygge hearth coffee and got some snacks and drinks and it was pretty good.
Output: ease of use,positive,"impressed with the ease of the process, cost",I really was impressed with the ease of the process from A to Z and It didn't cost much to charge the battery to 95%
Accessibility and Accessibility,Positive,"The station's location is just perfect, as it's conveniently situated near the freeway, ensuring a quick and hassle-free pit stop for travelers.","I recently had the pleasure of visiting the Tesla Supercharging station at Hotel Mission Del Oro, and it was nothing short of a delightful experience. The station's location is just perfect, as it's conveniently situated near the freeway, ensuring a quick and hassle-free pit stop for travelers.
 
 Hotel Mission Del Oro itself is an exquisite property, offering top-notch amenities for those looking to unwind while their vehicle gets charged. The hotel's welcoming ambiance and well-appointed rooms provide a comfortable stay for guests. And if you're an AT&T user, you'll be pleased to know that the cell phone service is excellent in this area, making it easy to stay connected with friends, family, or work.
 
 One of the highlights of this Supercharging station is its proximity to popular walkable dining options. My personal favorite has to be In-N-Out, which is just a short walk away. This iconic fast-food chain never disappoints with its mouthwatering burgers and shakes, making it an ideal choice to grab a quick bite while your Tesla charges. There are several other eateries in the vicinity, catering to a variety of tastes and preferences.
 
 Adding to the convenience, the charging station is equipped with multiple Superchargers, ensuring availability and minimal wait times. The charging process itself is swift, allowing you to get back on the road in no time.
 
 In conclusion, the Tesla Supercharging station at Hotel Mission Del Oro is an excellent pitstop for Tesla owners. Its strategic location, coupled with the hotel's amenities, superb AT&T cell phone service, and various dining options nearby, make it a must-visit for anyone traveling through the area."
Amenities and location,Positive,"Hotel Mission Del Oro itself is an exquisite property, offering top-notch amenities for those looking to unwind while their vehicle gets charged.","I recently had the pleasure of visiting the Tesla Supercharging station at Hotel Mission Del Oro, and it was nothing short of a delightful experience. The station's location is just perfect, as it's conveniently situated near the freeway, ensuring a quick and hassle-free pit stop for travelers.
 
 Hotel Mission Del Oro itself is an exquisite property, offering top-notch amenities for those looking to unwind while their vehicle gets charged. The hotel's welcoming ambiance and well-appointed rooms provide a comfortable stay for guests. And if you're an AT&T user, you'll be pleased to know that the cell phone service is excellent in this area, making it easy to stay connected with friends, family, or work.
 
 One of the highlights of this Supercharging station is its proximity to popular walkable dining options. My personal favorite has to be In-N-Out, which is just a short walk away. This iconic fast-food chain never disappoints with its mouthwatering burgers and shakes, making it an ideal choice to grab a quick bite while your Tesla charges. There are several other eateries in the vicinity, catering to a variety of tastes and preferences.
 
 Adding to the convenience, the charging station is equipped with multiple Superchargers, ensuring availability and minimal wait times. The charging process itself is swift, allowing you to get back on the road in no time.
 
 In conclusion, the Tesla Supercharging station at Hotel Mission Del Oro is an excellent pitstop for Tesla owners. Its strategic location, coupled with the hotel's amenities, superb AT&T cell phone service, and various dining options nearby, make it a must-visit for anyone traveling through the area."
Compatibility and Connectivity,Positive,"And if you're an AT&T user, you'll be pleased to know that the cell phone service is excellent in this area, making it easy to stay connected with friends, family, or work.","I recently had the pleasure of visiting the Tesla Supercharging station at Hotel Mission Del Oro, and it was nothing short of a delightful experience. The station's location is just perfect, as it's conveniently situated near the freeway, ensuring a quick and hassle-free pit stop for travelers.
 
 Hotel Mission Del Oro itself is an exquisite property, offering top-notch amenities for those looking to unwind while their vehicle gets charged. The hotel's welcoming ambiance and well-appointed rooms provide a comfortable stay for guests. And if you're an AT&T user, you'll be pleased to know that the cell phone service is excellent in this area, making it easy to stay connected with friends, family, or work.
 
 One of the highlights of this Supercharging station is its proximity to popular walkable dining options. My personal favorite has to be In-N-Out, which is just a short walk away. This iconic fast-food chain never disappoints with its mouthwatering burgers and shakes, making it an ideal choice to grab a quick bite while your Tesla charges. There are several other eateries in the vicinity, catering to a variety of tastes and preferences.
 
 Adding to the convenience, the charging station is equipped with multiple Superchargers, ensuring availability and minimal wait times. The charging process itself is swift, allowing you to get back on the road in no time.
 
 In conclusion, the Tesla Supercharging station at Hotel Mission Del Oro is an excellent pitstop for Tesla owners. Its strategic location, coupled with the hotel's amenities, superb AT&T cell phone service, and various dining options nearby, make it a must-visit for anyone traveling through the area."
Amenities and location,Positive,One of the highlights of this Supercharging station is its proximity to popular walkable dining options.,"I recently had the pleasure of visiting the Tesla Supercharging station at Hotel Mission Del Oro, and it was nothing short of a delightful experience. The station's location is just perfect, as it's conveniently situated near the freeway, ensuring a quick and hassle-free pit stop for travelers.
 
 Hotel Mission Del Oro itself is an exquisite property, offering top-notch amenities for those looking to unwind while their vehicle gets charged. The hotel's welcoming ambiance and well-appointed rooms provide a comfortable stay for guests. And if you're an AT&T user, you'll be pleased to know that the cell phone service is excellent in this area, making it easy to stay connected with friends, family, or work.
 
 One of the highlights of this Supercharging station is its proximity to popular walkable dining options. My personal favorite has to be In-N-Out, which is just a short walk away. This iconic fast-food chain never disappoints with its mouthwatering burgers and shakes, making it an ideal choice to grab a quick bite while your Tesla charges. There are several other eateries in the vicinity, catering to a variety of tastes and preferences.
 
 Adding to the convenience, the charging station is equipped with multiple Superchargers, ensuring availability and minimal wait times. The charging process itself is swift, allowing you to get back on the road in no time.
 
 In conclusion, the Tesla Supercharging station at Hotel Mission Del Oro is an excellent pitstop for Tesla owners. Its strategic location, coupled with the hotel's amenities, superb AT&T cell phone service, and various dining options nearby, make it a must-visit for anyone traveling through the area."
Queue and waiting time,Positive,"Adding to the convenience, the charging station is equipped with multiple Superchargers, ensuring availability and minimal wait times.","I recently had the pleasure of visiting the Tesla Supercharging station at Hotel Mission Del Oro, and it was nothing short of a delightful experience. The station's location is just perfect, as it's conveniently situated near the freeway, ensuring a quick and hassle-free pit stop for travelers.
 
 Hotel Mission Del Oro itself is an exquisite property, offering top-notch amenities for those looking to unwind while their vehicle gets charged. The hotel's welcoming ambiance and well-appointed rooms provide a comfortable stay for guests. And if you're an AT&T user, you'll be pleased to know that the cell phone service is excellent in this area, making it easy to stay connected with friends, family, or work.
 
 One of the highlights of this Supercharging station is its proximity to popular walkable dining options. My personal favorite has to be In-N-Out, which is just a short walk away. This iconic fast-food chain never disappoints with its mouthwatering burgers and shakes, making it an ideal choice to grab a quick bite while your Tesla charges. There are several other eateries in the vicinity, catering to a variety of tastes and preferences.
 
 Adding to the convenience, the charging station is equipped with multiple Superchargers, ensuring availability and minimal wait times. The charging process itself is swift, allowing you to get back on the road in no time.
 
 In conclusion, the Tesla Supercharging station at Hotel Mission Del Oro is an excellent pitstop for Tesla owners. Its strategic location, coupled with the hotel's amenities, superb AT&T cell phone service, and various dining options nearby, make it a must-visit for anyone traveling through the area."
Charging speed and efficiency,Positive,"The charging process itself is swift, allowing you to get back on the road in no time.","I recently had the pleasure of visiting the Tesla Supercharging station at Hotel Mission Del Oro, and it was nothing short of a delightful experience. The station's location is just perfect, as it's conveniently situated near the freeway, ensuring a quick and hassle-free pit stop for travelers.
 
 Hotel Mission Del Oro itself is an exquisite property, offering top-notch amenities for those looking to unwind while their vehicle gets charged. The hotel's welcoming ambiance and well-appointed rooms provide a comfortable stay for guests. And if you're an AT&T user, you'll be pleased to know that the cell phone service is excellent in this area, making it easy to stay connected with friends, family, or work.
 
 One of the highlights of this Supercharging station is its proximity to popular walkable dining options. My personal favorite has to be In-N-Out, which is just a short walk away. This iconic fast-food chain never disappoints with its mouthwatering burgers and shakes, making it an ideal choice to grab a quick bite while your Tesla charges. There are several other eateries in the vicinity, catering to a variety of tastes and preferences.
 
 Adding to the convenience, the charging station is equipped with multiple Superchargers, ensuring availability and minimal wait times. The charging process itself is swift, allowing you to get back on the road in no time.
 
 In conclusion, the Tesla Supercharging station at Hotel Mission Del Oro is an excellent pitstop for Tesla owners. Its strategic location, coupled with the hotel's amenities, superb AT&T cell phone service, and various dining options nearby, make it a must-visit for anyone traveling through the area."
Output: reliability and maintenance,Negative,every single charger bagged out of order,I routed here and arrived with only 17 miles left on battery.. every single charger bagged out of order. Had to drive 18 mins north to a neighboring supercharger with only 6 miles left upon arriving there. What if there wasn't a neighboring supercharger??? NOT GOOD.. the even worse thing is that I routed that from the car!!! Nothing said out of order. NOT GOOD!! At least have an X thru the charge spot so we know it doesn't work! GET IT FIXED!!!
Output: Accessibility and Location,Positive,Grateful to be here arriving at 2% charge. Ted's Cafe Escondido is great.,I saw the chargers a long time before I figured out how to get there without driving over a curb. Grateful to be here arriving at 2% charge. Ted's Cafe Escondido is great.
Accessibility and Availability,Positive,This is the only one I found on route,I searched for a supercharger from Houston to Austin. This is the only one I found on route. I heard they will build one at Bukees soon. Using it was no problem but it only has like 6 stalls and is hidden in a tight spot behind a hotel. Better than no charging on my trips from Austin to Houston. I like to feel I can get home without hitting yellow on the battery. I reached home with way over 100 miles so was a good thing. My new charging station on trips to Houston from Austin. I wrote this so others could find this Columbus supercharger.
Output: queue and waiting time,Negative,way more cars pulling up to get a charge than there are charging stations,I see way more cars pulling up to get a charge than there are charging stations... The cars that are charging seem to be there quite a while!!! Sad to try and implement electric cars when there aren't enough resources for them.
Output: queue and waiting time,Positive,Every spot was taken so I pulled over and waited for about two minutes,I showed up to charge at 9:22 AM on a Saturday. Every spot was taken so I pulled over and waited for about two minutes. At that point; one of the Tesla‚Äôs finished and pulled out and voila I‚Äôm in! Let‚Äôs try to keep the parking spots clean of any rubbish!! There is a nice sized garbage can located between the chargers!
Output: Accessibility and Amenities and Location,Positive,right at a Dennys,I spoke with the manager responsible for getting the Superchargers put in. She really believes in making the world a cleaner and better place. The location is great as it's right at a Dennys.
Output: Accessibility and Amenities and Location,Positive,"Tesla chargers and 1 universal charger, ""valet only"" entrance","I spotted a few Tesla chargers and 1 universal charger that fit my 2022 Leaf. You have to pull in the ""valet only"" entrance to access them, but I was not hassled at all and charged all night. Checked out in the morning with a full charge courtesy of the resort."
Output: Accessibility and Availability,Positive,able to fully charge up my Y both nights I was there,"I stayed at this motel, and was able to fully charge up my Y both nights I was there. Had zero issues."
Output: Accessibility and Amenities and location,Positive,"Kum & Go both ways both ways on a trip to Des Moines, plenty of open spaces, no problems with charging, Counter employees in the store were exceedingly nice",I stopped at the Kum & Go both ways both ways on a trip to Des Moines. Both times there were plenty of open spaces and no problems with charging. Counter employees in the store were exceedingly nice. Very positive experience all the way around.
Output: Safety,Negative,all the broken glass in the parking lot and people walking around who appeared to be high on drugs,"I stopped here on my way to Ocean Shores and unfortunately went at peak pricing hours, but what can ya do? Haha
 
 The reason for the 3 star is all the broken glass in the parking lot and people walking around who appeared to be high on drugs. It didn't feel like a super safe area and definitely would not want to be here after dark for a needed charge."
Output: Accessibility and Location,Positive,"right by the highway, very easy to get on and off",I stopped here on my way to Toronto from NYC. It's right by the highway. The place is very easy to get on and off. There is a little restaurant and gas station across the street but by the time I got there (after midnight) they were both closed for the nite. Anyways the chargers all work really well - they don't seem to have been abused or anything.
Output: Accessibility and Amenities and Location,Positive,"electric vehicle charger right next to the Tesla one, extremely convenient and helpful, fully charge my EV for free, highly recommend if you have an EV, stop by this area","I technically did not use the Tesla supercharger. However, I did use the electric vehicle charger right next to the Tesla one. It was extremely convenient and helpful, I was able to fully charge my EV for free while I shopped in the area nearby. I highly recommend if you have an EV to stop by this area, you might as well charge if you have the ability to!"
Output: Charging speed and efficiency,Negative,waste of time,I think Tesla supercharger are a waste of time. If you want a real car or truck electric is not a good choice.
Output: Accessibility and Amenities,Positive,best supercharger in Portland,I think this is the best supercharger in portland .
Output: Accessibility and Amenities and Location,Negative,the space for pulling into the chargers was a little tight and the space was also used for parking,I thought the space for pulling into the chargers was a little tight and the space was also used for parking. There were places you could drop a trailer if you were towing and needed to charge.
Output: Availability and Accessibility,Negative,this place does not have a supercharger,"I thought this place has a supercharger but it does not. There is a park that you can enjoy while your car charges. If you're looking for a quick charge, this isn't the place."
Output: Accessibility and Amenities and location,Positive,"great place to charge, Many stations, A mall to go to while you wait","I thought this was a great place to charge. I think there should be more like these by I-95. It saved us. We were very worried that our Model Y had only 50miles left. Anyway, great place. Many stations. A mall to go to while you wait. Can‚Äôt ask for more."
Output: Accessibility and Availability,Positive,very close to our subdivision,"I took those pictures on Mar 11, 2019 and posted on the Google Map, but for some reason, I can't find them, so I post them again.
 
 We installed the 50Amp charge port at home so seldom come here to charge. We only charged the loaner Model X twice or three times here. This location is very close to our subdivision. I just hope there are more supercharger around Houston area."
Accessibility and Accessibility,Negative,the parking spaces were full of Westin hotel staff ICE vehicles,"I tried to charge at these destination chargers in August 2022, but the parking spaces were full of Westin hotel staff ICE vehicles. There are no signs indicating EV only parking/charging. The Jekyll Island Ocean Club staff tried to help but nothing happened. Someone needs to put up some signs. However, just south of the Ocean Club hotel is a public access parking lot for the beach that has four Tesla charger and I believe two Charge Point chargers. There are signs and no ICE cars were blocking the charges. The hotel staff didn't even know about the chargers to the south. The chargers are adjacent to the Ocean Club hotel parking, and you can easily walk to the Westin. Wish someone could get these chargers on the map. There are also some chargers south of the convention center within eyesight of the Sunrise Grill."
Amenities and location,Negative,There are no signs indicating EV only parking,"I tried to charge at these destination chargers in August 2022, but the parking spaces were full of Westin hotel staff ICE vehicles. There are no signs indicating EV only parking/charging. The Jekyll Island Ocean Club staff tried to help but nothing happened. Someone needs to put up some signs. However, just south of the Ocean Club hotel is a public access parking lot for the beach that has four Tesla charger and I believe two Charge Point chargers. There are signs and no ICE cars were blocking the charges. The hotel staff didn't even know about the chargers to the south. The chargers are adjacent to the Ocean Club hotel parking, and you can easily walk to the Westin. Wish someone could get these chargers on the map. There are also some chargers south of the convention center within eyesight of the Sunrise Grill."
Amenities and location,Positive,just south of the Ocean Club hotel is a public access parking lot for the beach that has four Tesla charger and I believe two Charge Point chargers,"I tried to charge at these destination chargers in August 2022, but the parking spaces were full of Westin hotel staff ICE vehicles. There are no signs indicating EV only parking/charging. The Jekyll Island Ocean Club staff tried to help but nothing happened. Someone needs to put up some signs. However, just south of the Ocean Club hotel is a public access parking lot for the beach that has four Tesla charger and I believe two Charge Point chargers. There are signs and no ICE cars were blocking the charges. The hotel staff didn't even know about the chargers to the south. The chargers are adjacent to the Ocean Club hotel parking, and you can easily walk to the Westin. Wish someone could get these chargers on the map. There are also some chargers south of the convention center within eyesight of the Sunrise Grill."
Amenities and location,Positive,"The chargers are adjacent to the Ocean Club hotel parking, and you can easily walk to the Westin","I tried to charge at these destination chargers in August 2022, but the parking spaces were full of Westin hotel staff ICE vehicles. There are no signs indicating EV only parking/charging. The Jekyll Island Ocean Club staff tried to help but nothing happened. Someone needs to put up some signs. However, just south of the Ocean Club hotel is a public access parking lot for the beach that has four Tesla charger and I believe two Charge Point chargers. There are signs and no ICE cars were blocking the charges. The hotel staff didn't even know about the chargers to the south. The chargers are adjacent to the Ocean Club hotel parking, and you can easily walk to the Westin. Wish someone could get these chargers on the map. There are also some chargers south of the convention center within eyesight of the Sunrise Grill."
Amenities and location,Positive,There are also some chargers south of the convention center within eyesight of the Sunrise Grill,"I tried to charge at these destination chargers in August 2022, but the parking spaces were full of Westin hotel staff ICE vehicles. There are no signs indicating EV only parking/charging. The Jekyll Island Ocean Club staff tried to help but nothing happened. Someone needs to put up some signs. However, just south of the Ocean Club hotel is a public access parking lot for the beach that has four Tesla charger and I believe two Charge Point chargers. There are signs and no ICE cars were blocking the charges. The hotel staff didn't even know about the chargers to the south. The chargers are adjacent to the Ocean Club hotel parking, and you can easily walk to the Westin. Wish someone could get these chargers on the map. There are also some chargers south of the convention center within eyesight of the Sunrise Grill."
Output: Amenities and Location,Negative,Parking lot is always dirty and it doesn't seem like the best location from a security perspective (especially at night),I try to piggy back this stop and push for Monroe. Parking lot is always dirty and it doesn't seem like the best location from a security perspective (especially at night)
Output: reliability and maintenance,Positive,Both chargers are functioning properly,"I underestimated the battery drain on my Tesla in hot weather. This destination charger has been a life-saver. They mentioned having three chargers, but I only found two: one Tesla destination charger and the other a ClipperCreek. Both chargers are functioning properly."
Accessibility and Accessibility,Positive,this charger every time I've come to town this year,"I use this charger every time I've come to town this year. It's in great shape and there is at least one available. The hotel is a great, clean, stay. Take a walk on the river or over to downtown Durango while you wait."
Amenities and location,Positive,"great shape and there is at least one available, The hotel is a great, clean, stay. Take a walk on the river or over to downtown Durango while you wait.","I use this charger every time I've come to town this year. It's in great shape and there is at least one available. The hotel is a great, clean, stay. Take a walk on the river or over to downtown Durango while you wait."
